                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     46,                 1.7336,                0.76796,                 1.8428,                0.97263,                0.96597,                0.99005,                0.78833,                 1.6021,                0.64836,                 1.8536,               0.001109,               0.001109,               0.001109
                     47,                  1.751,                0.78949,                 1.8683,                0.97228,                0.95136,                0.98559,                0.78579,                 1.6041,                0.67042,                 1.8655,              0.0010892,              0.0010892,              0.0010892
                     48,                   1.72,                0.75618,                 1.8437,                0.96525,                0.95374,                0.98663,                0.79269,                 1.5959,                0.66737,                 1.8427,              0.0010694,              0.0010694,              0.0010694
                     49,                 1.7365,                0.76837,                 1.8476,                0.97507,                0.94707,                0.98607,                0.78808,                 1.6022,                0.67222,                 1.8427,              0.0010496,              0.0010496,              0.0010496
                     50,                 1.7252,                0.78516,                 1.8473,                0.96548,                0.96019,                0.98778,                0.78997,                 1.5778,                0.65311,                 1.8306,              0.0010298,              0.0010298,              0.0010298
                     51,                 1.7112,                0.77216,                 1.8444,                0.96289,                0.96515,                0.98886,                0.78287,                 1.5927,                0.65414,                 1.8336,                0.00101,                0.00101,                0.00101
                     52,                 1.7255,                0.75261,                 1.8449,                0.96827,                0.94278,                0.98581,                0.78105,                 1.6211,                0.67345,                 1.8422,              0.0009902,              0.0009902,              0.0009902
                     53,                 1.6918,                0.75875,                 1.8344,                0.95979,                0.95608,                0.98466,                0.77819,                 1.6316,                0.68197,                 1.8545,              0.0009704,              0.0009704,              0.0009704
                     54,                 1.7121,                0.76588,                 1.8359,                0.96682,                0.97282,                0.98965,                0.79463,                 1.5434,                0.63526,                 1.8317,              0.0009506,              0.0009506,              0.0009506
                     55,                 1.7043,                0.75792,                 1.8423,                0.96697,                0.96342,                0.98684,                0.79558,                 1.5703,                0.63793,                 1.8379,              0.0009308,              0.0009308,              0.0009308
                     56,                 1.6959,                0.76395,                 1.8429,                0.96953,                0.95606,                0.98573,                0.79802,                 1.5497,                 0.6457,                 1.8222,               0.000911,               0.000911,               0.000911
                     57,                 1.6588,                0.73807,                 1.8367,                0.97238,                0.95694,                0.98851,                0.79646,                 1.5334,                0.62735,                 1.8264,              0.0008912,              0.0008912,              0.0008912
                     58,                 1.6904,                 0.7598,                 1.8325,                0.96661,                0.95252,                0.98718,                 0.7904,                 1.5941,                 0.6561,                  1.838,              0.0008714,              0.0008714,              0.0008714
                     59,                 1.6639,                0.74712,                 1.8364,                0.96698,                0.95994,                0.98652,                0.78815,                 1.5915,                0.64269,                 1.8426,              0.0008516,              0.0008516,              0.0008516
                     60,                 1.6621,                0.73966,                 1.8287,                0.97637,                 0.9628,                0.98555,                0.78901,                 1.5618,                0.64786,                 1.8274,              0.0008318,              0.0008318,              0.0008318
                     61,                 1.6518,                0.71636,                 1.8235,                0.97256,                0.96355,                0.98999,                0.79664,                 1.5527,                0.63033,                 1.8181,               0.000812,               0.000812,               0.000812
                     62,                  1.663,                0.72686,                 1.8323,                0.97801,                 0.9542,                0.99044,                0.79573,                 1.5545,                0.63629,                 1.8298,              0.0007922,              0.0007922,              0.0007922
